Sample_name	Cell_line
ENCFF763HVB	Thyroid gland
ENCFF772GTQ	AG04450
ENCFF782XOZ	OCI-LY3
ENCFF783OAU	Astrocyte of the cerebellum
ENCFF786GFU	Choroid plexus epithelial cell
ENCFF787FOM	Cardiac fibroblast
ENCFF791NGY	Mesenchymal stem cell
ENCFF799GAB	Right cardiac atrium
ENCFF799VFZ	Naive thymus-derived CD4-positive, alpha-beta T cell
ENCFF804LDU	Endodermal cell
ENCFF810BVK	Liver
ENCFF810OSX	Heart right ventricle
ENCFF815QBL	Muscle layer of duodenum
ENCFF828NIJ	Skeletal muscle tissue
ENCFF831VGM	Adrenal gland
ENCFF831WAR	Stomach
ENCFF838RVD	Cardiac muscle cell
ENCFF840FAQ	Ectodermal cell
ENCFF841TJP	H1
ENCFF844KYC	Fibroblast of lung
ENCFF845SKH	B cell
ENCFF849MZZ	IPS-15b
ENCFF851UWZ	Fibroblast of lung
ENCFF853WNJ	Subcutaneous abdominal adipose tissue nuclear fraction
ENCFF865VAE	OCI-LY1
ENCFF868NHG	SK-N-MC
ENCFF870BQQ	Psoas muscle
ENCFF872LJQ	H9
ENCFF881DQO	Fibroblast of mammary gland
ENCFF882CKC	Adrenal gland
ENCFF895YLP	Fibroblast of dermis NONE and
ENCFF919BJS	Placenta
ENCFF920BKK	Duodenal mucosa
ENCFF930NCR	Fibroblast of lung
ENCFF931RLY	OCI-LY3
ENCFF935MFX	Lung
ENCFF938SKR	Mononuclear cell
ENCFF940KDU	ACC112
ENCFF943MQH	Lung
ENCFF949DSS	Coronary artery
ENCFF951MNO	Ectodermal cell
ENCFF951SLC	Neuroepithelial stem cell
ENCFF955EGK	Germinal matrix
ENCFF957BXW	OCI-LY1
ENCFF960CLR	IPS-20b
ENCFF964PJR	Fibroblast of lung
ENCFF965WTD	Rectal smooth muscle tissue
ENCFF966ETE	DND-41
ENCFF967ECB	Spleen
ENCFF972NAN	Peripheral blood mononuclear cell
ENCFF973DLK	Common myeloid progenitor, CD34-positive
ENCFF974TCR	Mesendoderm
ENCFF979LVI	Endodermal cell
ENCFF987PUL	Adipocyte
ENCFF102OIE	Cardiac fibroblast
ENCFF290HNA	Foreskin fibroblast
ENCFF609NDW	Foreskin fibroblast
ENCFF614IKR	NA
ENCFF150HXF	NA
ENCFF779YDJ	NA
ENCFF963KYY	NA
